,Unnamed: 0,es_oficialismo,0_presencia,0_apoyo,1_presencia,1_apoyo,2_presencia,2_apoyo,3_presencia,3_apoyo,nroperiodo,tipo_mayoria,resultado,periodo_Extraordinario,periodo_Ordinario,periodo_Prórroga,sesion_Especial,sesion_Preparatoria,sesion_Tablas
700,700,1,0.912280701754386,1.0,0.7631578947368421,1.0,0.55,1.0,0.8181818181818182,1.0,131,0,1,0,1,0,0,0,1
795,795,1,0.8782608695652174,1.0,0.631578947368421,1.0,0.2857142857142857,1.0,0.09090909090909093,1.0,130,0,1,0,1,0,1,0,0
117,117,0,0.7714285714285715,1.0,0.8536585365853658,1.0,0.8611111111111112,1.0,0.7916666666666666,1.0,135,0,1,0,1,0,1,0,0
47,47,0,0.8461538461538461,1.0,0.8363636363636363,-1.0,0.95,-1.0,0.8333333333333334,0.8,136,2,0,0,1,0,1,0,0
872,872,1,0.6744186046511628,0.9827586206896552,0.5348837209302325,0.9565217391304348,0.5714285714285714,0.9375,0.21052631578947367,0.0,129,0,1,0,1,0,1,0,0
559,559,1,0.9473684210526316,1.0,0.8611111111111112,1.0,0.7777777777777778,1.0,0.8235294117647058,1.0,132,0,1,0,1,0,1,0,0
301,301,0,0.0,,0.9285714285714286,0.9487179487179488,0.8611111111111112,1.0,0.9130434782608696,0.9523809523809524,134,0,1,0,1,0,1,0,0
369,369,0,0.7285714285714285,1.0,0.8333333333333334,1.0,0.9444444444444444,1.0,0.8695652173913043,1.0,134,0,1,0,1,0,1,0,0
293,293,0,0.9493670886075948,-1.0,0.9761904761904762,1.0,0.9444444444444444,1.0,0.8695652173913043,0.9,134,0,1,0,1,0,1,0,0
177,177,0,0.4857142857142857,1.0,0.8780487804878049,1.0,0.9444444444444444,1.0,0.8260869565217391,1.0,135,0,1,0,1,0,1,0,0
328,328,0,0.7142857142857143,0.96,0.8809523809523809,1.0,0.75,1.0,0.6521739130434783,1.0,134,0,1,0,1,0,0,0,1
808,808,1,0.9652173913043478,1.0,0.6578947368421053,1.0,0.7619047619047619,1.0,0.9090909090909092,1.0,130,0,1,0,1,0,1,0,0
896,896,1,0.9385964912280702,1.0,0.8157894736842105,1.0,0.7142857142857143,1.0,0.8181818181818182,1.0,129,0,1,1,0,0,1,0,0
933,933,0,0.7692307692307693,-1.0,0.9636363636363636,1.0,0.9487179487179488,1.0,0.6111111111111112,0.4545454545454545,137,0,1,0,1,0,1,0,0
635,635,1,0.7913043478260869,1.0,0.6052631578947368,1.0,0.65,1.0,0.6363636363636364,1.0,131,0,1,0,1,0,0,0,1
148,148,0,0.9571428571428572,-0.9701492537313432,0.9268292682926829,1.0,0.8611111111111112,0.967741935483871,0.7826086956521741,1.0,135,0,1,0,1,0,1,0,0
431,431,0,0.8695652173913043,-0.6,0.9285714285714286,1.0,0.8611111111111112,1.0,0.6086956521739131,0.35714285714285715,134,0,1,0,1,0,1,0,0
600,600,1,0.9561403508771931,1.0,0.75,1.0,0.8333333333333334,1.0,0.5294117647058824,1.0,132,0,1,0,0,1,1,0,0
823,823,1,0.9130434782608696,1.0,0.5526315789473685,1.0,0.2857142857142857,1.0,0.3636363636363637,-1.0,130,0,1,0,1,0,0,0,1
278,278,0,0.9493670886075948,-0.8133333333333334,0.9761904761904762,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
841,841,1,0.9217391304347826,1.0,0.7631578947368421,1.0,0.7142857142857143,1.0,0.5454545454545454,1.0,130,0,1,1,0,0,1,0,0
258,258,0,0.9629629629629628,0.8974358974358975,0.975609756097561,1.0,1.0,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
548,548,1,0.9473684210526316,1.0,0.8611111111111112,0.0,0.7777777777777778,1.0,0.8235294117647058,1.0,132,0,1,0,1,0,1,0,0
975,975,0,0.9666666666666668,1.0,0.8823529411764706,-1.0,0.8723404255319149,-1.0,0.8,-1.0,137,0,1,1,0,0,1,0,0
11,11,0,0.4923076923076923,1.0,0.9272727272727272,-1.0,0.9,-1.0,0.4736842105263158,1.0,136,1,0,0,1,0,1,0,0
801,801,1,0.9652173913043478,1.0,0.0,,0.0,,0.0,,130,0,1,0,1,0,1,0,0
561,561,1,0.9736842105263158,1.0,0.9444444444444444,-1.0,0.8888888888888888,-1.0,1.0,-1.0,132,0,1,0,1,0,1,0,0
459,459,1,0.9561403508771931,1.0,0.6857142857142857,1.0,0.6666666666666666,1.0,0.42857142857142855,1.0,133,0,1,0,1,0,1,0,0
323,323,0,0.37142857142857133,1.0,0.9285714285714286,1.0,0.7222222222222222,1.0,0.6956521739130435,1.0,134,0,1,0,1,0,1,0,0
522,522,1,0.8487394957983193,1.0,0.5945945945945946,1.0,0.7222222222222222,1.0,0.5294117647058824,1.0,132,0,1,0,1,0,0,0,1
615,615,1,0.9649122807017544,1.0,0.8888888888888888,-1.0,0.8888888888888888,-1.0,0.7058823529411765,-1.0,132,0,1,0,0,1,1,0,0
